Condition,CodeType,DxCodeLocation,DxCode
ANEMIA,ICD10DX,ANY,D61.818
ANEMIA,ICD10DX,ANY,D61.82
ANEMIA,ICD10DX,ANY,D61.89
ANEMIA,ICD10DX,ANY,D61.9
ANEMIA,ICD10DX,ANY,D63.0
ANEMIA,ICD10DX,ANY,D63.1
ANEMIA,ICD10DX,ANY,D63.8
ANEMIA,ICD10DX,ANY,D64.0
ANEMIA,ICD10DX,ANY,D64.1
ANEMIA,ICD10DX,ANY,D64.2
ANEMIA,ICD10DX,ANY,D64.3
ANEMIA,ICD10DX,ANY,D64.4
ANEMIA,ICD10DX,ANY,D64.81
ANEMIA,ICD10DX,ANY,D64.89
ANEMIA,ICD10DX,ANY,D64.9
ANEMIA,ICD10DX,ANY,D75.81
ASTHMA,ICD10DX,ANY,J45.20
ASTHMA,ICD10DX,ANY,J45.21
ASTHMA,ICD10DX,ANY,J45.22
ASTHMA,ICD10DX,ANY,J45.30
ASTHMA,ICD10DX,ANY,J45.31
ASTHMA,ICD10DX,ANY,J45.32
ASTHMA,ICD10DX,ANY,J45.40
ASTHMA,ICD10DX,ANY,J45.41
ASTHMA,ICD10DX,ANY,J45.42
ASTHMA,ICD10DX,ANY,J45.50
ASTHMA,ICD10DX,ANY,J45.51
ASTHMA,ICD10DX,ANY,J45.52
ASTHMA,ICD10DX,ANY,J45.901
ASTHMA,ICD10DX,ANY,J45.902
ASTHMA,ICD10DX,ANY,J45.909
ASTHMA,ICD10DX,ANY,J45.990
ASTHMA,ICD10DX,ANY,J45.991
ASTHMA,ICD10DX,ANY,J45.998
ATRIALF,ICD10DX,ANY,I48.0
ATRIALF,ICD10DX,ANY,I48.1
ATRIALF,ICD10DX,ANY,I48.11
ATRIALF,ICD10DX,ANY,I48.19
ATRIALF,ICD10DX,ANY,I48.2
ATRIALF,ICD10DX,ANY,I48.20
ATRIALF,ICD10DX,ANY,I48.21
ATRIALF,ICD10DX,ANY,I48.3
ATRIALF,ICD10DX,ANY,I48.4
ATRIALF,ICD10DX,ANY,I48.91
CATARACT,ICD10DX,ANY,E08.36
CATARACT,ICD10DX,ANY,E09.36
CATARACT,ICD10DX,ANY,E10.36
CATARACT,ICD10DX,ANY,E11.36
CATARACT,ICD10DX,ANY,E13.36
CATARACT,ICD10DX,ANY,H25.011
CATARACT,ICD10DX,ANY,H25.012
CATARACT,ICD10DX,ANY,H25.013
CATARACT,ICD10DX,ANY,H25.019
CATARACT,ICD10DX,ANY,H25.031
CATARACT,ICD10DX,ANY,H25.032
CATARACT,ICD10DX,ANY,H25.033
CATARACT,ICD10DX,ANY,H25.039
CATARACT,ICD10DX,ANY,H25.041
CATARACT,ICD10DX,ANY,H25.042
CATARACT,ICD10DX,ANY,H25.043
CATARACT,ICD10DX,ANY,H25.049
CATARACT,ICD10DX,ANY,H25.091
CATARACT,ICD10DX,ANY,H25.092
CATARACT,ICD10DX,ANY,H25.093
CATARACT,ICD10DX,ANY,H25.099
CATARACT,ICD10DX,ANY,H25.10
CATARACT,ICD10DX,ANY,H25.11
CATARACT,ICD10DX,ANY,H25.12
CATARACT,ICD10DX,ANY,H25.13
CATARACT,ICD10DX,ANY,H25.20
CATARACT,ICD10DX,ANY,H25.21
CATARACT,ICD10DX,ANY,H25.22
CATARACT,ICD10DX,ANY,H25.23
CATARACT,ICD10DX,ANY,H25.811
CATARACT,ICD10DX,ANY,H25.812
CATARACT,ICD10DX,ANY,H25.813
CATARACT,ICD10DX,ANY,H25.819
CATARACT,ICD10DX,ANY,H25.89
CATARACT,ICD10DX,ANY,H25.9
CATARACT,ICD10DX,ANY,H26.001
CATARACT,ICD10DX,ANY,H26.002
CATARACT,ICD10DX,ANY,H26.003
CATARACT,ICD10DX,ANY,H26.009
CATARACT,ICD10DX,ANY,H26.011
CATARACT,ICD10DX,ANY,H26.012
CATARACT,ICD10DX,ANY,H26.013
CATARACT,ICD10DX,ANY,H26.019
CATARACT,ICD10DX,ANY,H26.031
CATARACT,ICD10DX,ANY,H26.032
CATARACT,ICD10DX,ANY,H26.033
CATARACT,ICD10DX,ANY,H26.039
CATARACT,ICD10DX,ANY,H26.041
CATARACT,ICD10DX,ANY,H26.042
CATARACT,ICD10DX,ANY,H26.043
CATARACT,ICD10DX,ANY,H26.049
CATARACT,ICD10DX,ANY,H26.051
CATARACT,ICD10DX,ANY,H26.052
CATARACT,ICD10DX,ANY,H26.053
CATARACT,ICD10DX,ANY,H26.059
CATARACT,ICD10DX,ANY,H26.061
CATARACT,ICD10DX,ANY,H26.062
