Condition,CodeType,DxCodeLocation,DxCode,,,,,,
ANEMIA,ICD10DX,ANY,D56.5,,,,,,
ANEMIA,ICD10DX,ANY,D56.8,,,,,,
ANEMIA,ICD10DX,ANY,D56.9,,,,,,
ANEMIA,ICD10DX,ANY,D57.00,,,,,,
ANEMIA,ICD10DX,ANY,D57.01,,,,,,
ANEMIA,ICD10DX,ANY,D57.02,,,,,,
ANEMIA,ICD10DX,ANY,D57.03,,,,,,
ANEMIA,ICD10DX,ANY,D57.09,,,,,,
ANEMIA,ICD10DX,ANY,D57.1,,,,,,
ANEMIA,ICD10DX,ANY,D57.20,,,,,,
ANEMIA,ICD10DX,ANY,D57.211,,,,,,
ANEMIA,ICD10DX,ANY,D57.212,,,,,,
ANEMIA,ICD10DX,ANY,D57.213,,,,,,
ANEMIA,ICD10DX,ANY,D57.218,,,,,,
ANEMIA,ICD10DX,ANY,D57.219,,,,,,
ANEMIA,ICD10DX,ANY,D57.3,,,,,,
ANEMIA,ICD10DX,ANY,D57.40,,,,,,
ANEMIA,ICD10DX,ANY,D57.411,,,,,,
ANEMIA,ICD10DX,ANY,D57.412,,,,,,
ANEMIA,ICD10DX,ANY,D57.413,,,,,,
ANEMIA,ICD10DX,ANY,D57.418,,,,,,
ANEMIA,ICD10DX,ANY,D57.419,,,,,,
ANEMIA,ICD10DX,ANY,D57.42,,,,,,
ANEMIA,ICD10DX,ANY,D57.431,,,,,,
ANEMIA,ICD10DX,ANY,D57.432,,,,,,
ANEMIA,ICD10DX,ANY,D57.433,,,,,,
ANEMIA,ICD10DX,ANY,D57.438,,,,,,
ANEMIA,ICD10DX,ANY,D57.439,,,,,,
ANEMIA,ICD10DX,ANY,D57.44,,,,,,
ANEMIA,ICD10DX,ANY,D57.451,,,,,,
ANEMIA,ICD10DX,ANY,D57.452,,,,,,
ANEMIA,ICD10DX,ANY,D57.453,,,,,,
ANEMIA,ICD10DX,ANY,D57.458,,,,,,
ANEMIA,ICD10DX,ANY,D57.459,,,,,,
ANEMIA,ICD10DX,ANY,D57.80,,,,,,
ANEMIA,ICD10DX,ANY,D57.811,,,,,,
ANEMIA,ICD10DX,ANY,D57.812,,,,,,
ANEMIA,ICD10DX,ANY,D57.813,,,,,,
ANEMIA,ICD10DX,ANY,D57.818,,,,,,
ANEMIA,ICD10DX,ANY,D57.819,,,,,,
ANEMIA,ICD10DX,ANY,D58.0,,,,,,
ANEMIA,ICD10DX,ANY,D58.1,,,,,,
ANEMIA,ICD10DX,ANY,D58.2,,,,,,
ANEMIA,ICD10DX,ANY,D58.8,,,,,,
ANEMIA,ICD10DX,ANY,D58.9,,,,,,
ANEMIA,ICD10DX,ANY,D59.0,,,,,,
ANEMIA,ICD10DX,ANY,D59.1,,,,,,
ANEMIA,ICD10DX,ANY,D59.10,,,,,,
ANEMIA,ICD10DX,ANY,D59.11,,,,,,
ANEMIA,ICD10DX,ANY,D59.12,,,,,,
ANEMIA,ICD10DX,ANY,D59.13,,,,,,
ANEMIA,ICD10DX,ANY,D59.19,,,,,,
ANEMIA,ICD10DX,ANY,D59.2,,,,,,
ANEMIA,ICD10DX,ANY,D59.3,,,,,,
ANEMIA,ICD10DX,ANY,D59.4,,,,,,
ANEMIA,ICD10DX,ANY,D59.5,,,,,,
ANEMIA,ICD10DX,ANY,D59.6,,,,,,
ANEMIA,ICD10DX,ANY,D59.8,,,,,,
ANEMIA,ICD10DX,ANY,D59.9,,,,,,
ANEMIA,ICD10DX,ANY,D60.0,,,,,,
ANEMIA,ICD10DX,ANY,D60.1,,,,,,
ANEMIA,ICD10DX,ANY,D60.8,,,,,,
